player_name,state,from_california
Jonah Hodges,CA,yes
Edward Tandy,CA,yes
Dan Fadelli,CA,yes
Fred Eggert,CA,yes
Danny DeCarlo,CA,yes
Drew Ferris,CA,yes
Sione Sina,CA,yes
Ezekiel Herndon,CA,yes
Connor Landberg,CA,yes
Ted Agu,CA,yes
Marshall Deutz,CA,yes
Kevin Laird,CA,yes
Griffin Piatt,CA,yes
Ross Anderson,CA,yes
Derek Hunter,CA,yes
Spencer Havird,CA,yes
Frank Schnicker,CA,yes
Terrance Brown,CA,yes
Steven Cristobal,CA,yes
Michael Hernandez,CA,yes
Michael Lyzwa,CA,yes
Fabiano Hale,CA,yes
Cormac Craigie,CA,yes
Kyle Paris,CA,yes
Ahmad Avery,CA,yes
Julian Gallo,CA,yes
Duke Moran,CA,yes
Kenny Portera,CA,yes
David Fisher,CA,yes
Alex Waked,CA,yes
Preston Pemasa,CA,yes
Sean Miller,CA,yes
Joe Pierik,CA,yes
Bobby Marani,CA,yes
Steffan Mos,CA,yes
Todd Barr,CA,yes
Robbie McInerny,CA,yes
Trent Mason,CA,yes
Trent Mahler,CA,yes
Dan Camporeale,CA,yes
Matt Romano,CA,yes
Lucus Gingold,CA,yes
James Langford,CA,yes
Jack Moffett,CA,yes
Alvaro Estrella,CA,yes
Hardy Nickerson,CA,yes
Dabness Atkins,CA,yes
Bradley Northnagel,CA,yes
Nate McLaurin,CA,yes
Vincent Johnson,CA,yes
Viliami Moala,CA,yes
Josh Wiley,CA,yes
Brian Farley,CA,yes
Donovan Frazer,CA,yes
Carson O'Connell,CA,yes
Steven Moore,CA,yes
Chris Borrayo,CA,yes
Erik Bunte,CA,yes
Julian Brooks,CA,yes
John Sheperdson,CA,yes
Robert Jenkins,CA,yes
Patrick Clifford,CA,yes
J.T. Frank,CA,yes
Tucker Maggio,CA,yes
Necho Beard,CA,yes
Jordan Rigsbee,CA,yes
Matt Cochran,CA,yes
Aaron Cochran,CA,yes
Puka Lopa,CA,yes
Austin Carrow,CA,yes
J.D. Hinnant,CA,yes
Freddie Tagaloa,CA,yes
Bill Tyndall,CA,yes
Jack Austin,CA,yes
Doug Vernon,CA,yes
Harrison Wilfley,CA,yes
Trevor Baker,CA,yes
Jake Davis,CA,yes
Trevor Davis,CA,yes
Mason Melin,CA,yes
Idarre Coles,CA,yes
Cary Kriegsman,CA,yes
Wyatt Wilkerson,CA,yes
James Grisom,CA,yes
Lennard Cowans,CA,yes
Brandon Madueno,CA,yes
Bryce McGovern,CA,yes
Spencer Hagan,CA,yes
Patrick Worstell,CA,yes
Stephen Anderson,CA,yes
Mustafa Jalil,CA,yes
Robert Otis,CA,yes
Jake Lambirth,CA,yes
Marcus Manley,CA,yes
Mario Rodriguez,CA,yes
Tony Mekari,CA,yes
Travis Hansen,CA,yes
Elijah Dunston,CA,yes
Cody Tuttle,CA,yes
Dana Barbaro,CA,yes
Jordan Dobrich,CA,yes
Devin Ross,CA,yes
Chai Reece,CA,yes
Jonathan McNeal,CA,yes
Chidobe Awuzie,CA,yes
A.J. Dettorre,CA,yes
Bryce Bobo,CA,yes
Victor Burnett,CA,yes
Colton Concellos,CA,yes
Trevor Taft,CA,yes
Bobby Thompson,CA,yes
Brock Hekking,CA,yes
Clint Jackman,CA,yes
Paul Richardson,CA,yes
Alec Moreno,CA,yes
Markeis Reed,CA,yes
Rykeem Yates,CA,yes
Alex Bertrando,CA,yes
Tedric Thompson,CA,yes
Austin Woodard,CA,yes
Ricky Lloyd,CA,yes
Malcolm Creer,CA,yes
Nolan Dambacher,CA,yes
Brett Quinlan,CA,yes
Adam Khouri,CA,yes
Robert Kough,CA,yes
Zach Brickell,CA,yes
Chris Graham,CA,yes
Aisea Hansen,CA,yes
Corbin McCarthy,CA,yes
Marques Mosley,CA,yes
Marc Sasso,CA,yes
Donta Abron,CA,yes
Dan Henggeler,CA,yes
Matt Galas,CA,yes
Michael Adkins II,CA,yes
Mustafa Johnson,CA,yes
Greg Henderson,CA,yes
Jered Bell,CA,yes
Peter Eggert,CA,yes
Nelson Spruce,CA,yes
Chad Specht,CA,yes
Peter Gagliardi,CA,yes
Brent Roling,CA,yes
Bronson Green,CA,yes
Trent Trammell,CA,yes
Jordan Greenwood,CA,yes
Ajee Montes,CA,yes
George Frazier,CA,yes
Will Oliver,CA,yes
Joel Bitonio,CA,yes
Thor Hadfield,CA,yes
Cody Hoffman,CA,yes
Ryan Severson,CA,yes
Kenneth Olugbode,CA,yes
Clay Robbins,CA,yes
Kevin Sundberg,CA,yes
Alexander Kinal,CA,yes
Xavier Menifield,CA,yes
Hunter Shaw,CA,yes
Brandan Brisco,CA,yes
Abel De Haro,CA,yes
Woodson Greer III,CA,yes
Robertson Daniel,CA,yes
Paul Quessenberry,CA,yes
Tyler Stout,CA,yes
Josh Moten,CA,yes
Ziad Damanhoury,CA,yes
Lee Hightower,CA,yes
Jacob Henry,CA,yes
Cody Gochenouer,CA,yes
Dominic Coulter,CA,yes
Aaron Bradley,CA,yes
Addison Gillam,CA,yes
Alani Fua,CA,yes
Christian Powell,CA,yes
Robert Caldwell,CA,yes
Clay Jones,CA,yes
Garrett Gregory,CA,yes
Jerico Richardson,CA,yes
Randy Horton,CA,yes
Donnie Fields,CA,yes
Daniel Munyer,CA,yes
Garrett Strohmaier,CA,yes
Tim McLaughlin,CA,yes
Garrett White,CA,yes
Montez Hunter,CA,yes
Giles Chapman,CA,yes
Josh Tupou,CA,yes
Courtlin Thompson,CA,yes
Stephen Jeffers,CA,yes
Justin Solis,CA,yes
Tyler Houk,CA,yes
Jake Peppard,CA,yes
Jordan Hanson,CA,yes
Dupree Roberts-Jordan,CA,yes
Lenny Jones,CA,yes
Joseph Cook,CA,yes
Brad Cotner,CA,yes
Grant Rohach,CA,yes
Colin Sutton,CA,yes
Gerrad Kough,CA,yes
Ryan Iverson,CA,yes
James Carr,CA,yes
Salesa Faraimo,CA,yes
Jack Reynoso,CA,yes
Vincent Arvia,CA,yes
Alex Kelley,CA,yes
Beau Hershberger,CA,yes
Steve Dillon,CA,yes
Stephane Nembot,CA,yes
Gunnar Graham,CA,yes
Jared Cohen,CA,yes
Cheldon West,CA,yes
Bart Houston,CA,yes
Bryson Garcia,CA,yes
Wesley Christensen,CA,yes
Colin Johnson,CA,yes
Chris Smith,CA,yes
Alex Turbow,CA,yes
Daniel Sorensen,CA,yes
Ngalu Fusimalohi,CA,yes
Brian Owusu,CA,yes
Gerard Poutier,CA,yes
Allan Bridgford,CA,yes
Andrew Berg,CA,yes
Tanner Wrisley,CA,yes
Asante Cleveland,CA,yes
Quinton McCown,CA,yes
Alex Ball,CA,yes
Warren Long,CA,yes
Samson Kafovalu,CA,yes
Rashad Rainey,CA,yes
CheRod Simpson,CA,yes
Chidera Uzo-Diribe,CA,yes
Bryan Wyman,CA,yes
Jens Jeters,CA,yes
Michael Tuimavave,CA,yes
Trajuan Briggs,CA,yes
Justin DeCoud,CA,yes
John Miller,CA,yes
Damani Wilson,CA,yes
Tyree Robinson,CA,yes
Tyler Burns,CA,yes
DeAndre Daniels,CA,yes
Jake Rodrigues,CA,yes
Erick Dargan,CA,yes
Michael Davis,CA,yes
De'Anthony Thomas,CA,yes
Braden Lyons,CA,yes
Justin Johnson,CA,yes
Maxwell Smith,CA,yes
Adam Hogan,CA,yes
Ely Anderson,CA,yes
Arik Armstead,CA,yes
Byron Marshall,CA,yes
Skyler Ridley,CA,yes
Jaron Wilson,CA,yes
Chris Seisay,CA,yes
Andrew Fischer,CA,yes
Dorian Crawford,CA,yes
Ryan Harris,CA,yes
Donnie Duncan,CA,yes
Markel Byrd,CA,yes
Jake Houts,CA,yes
David Mothander,CA,yes
Ifo Ekpre-Olomu,CA,yes
Justyn Eddins,CA,yes
Nate Sudfeld,CA,yes
Jeff Lockie,CA,yes
Asante Gibson,CA,yes
Brandon Greene,CA,yes
Chase Clayton,CA,yes
Joshua Frost,CA,yes
David Born,CA,yes
Matt Martindale,CA,yes
Tyrell Robinson,CA,yes
Brett Thompson,CA,yes
Avery Patterson,CA,yes
